Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Caribbean small states,CSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,20796.7249890991,21259.1014637807,22156.1172344598,20169.8826381617,23495.1590735021,28945.6087800083,32879.5234896983,38670.9082440011,42963.806092907
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,4366140,4407658,4443134,4459302,4479167,4497310,4519904,4539060,4556558
Caribbean small states,CSS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Caribbean small states,CSS,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,68017.6758327335,71811.8917405219,72697.3672861884,66118.6540859028,74160.4914000191,82193.1801927387,88395.1826392376,92201.086358256,..
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,64535,65941,67327,68684,70108,71591,73038,74457,75844
Cayman Islands,CYM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,883.810734876066,905.817788941094,984.843183678857,1066.29005423151,1128.55237996459,1217.6567661451,1258.13048389217,1264.93671692975,1313.8765680523
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4793511,4878657,4944703,5026628,5112100,5098039,5152421,5330690,5513282
Central African Republic,CAF,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,71.6,..,..,..,..
Central African Republic,CAF,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,88.1,88.1,88.1,..,..,..
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,29977.3227104648,32302.4166123144,35861.647806839,36454.227425867,40122.3609600588,45264.7376182599,48014.3414866347,50542.6280755689,52849.0502475199
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,102337501,102074201,101864274,101215763,100205732,100071871,100183707,100061963,99814596
Central Europe and the Baltics,CEB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Chad,TCD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2097.14425483604,2227.81335372611,2351.65339767739,2185.99034173537,2435.07274651099,2623.702025997,2703.06889886705,2766.98134913811,2902.7406157583
Chad,TCD,"Population, total",SP.POP.TOTL,15622759,16156531,16685223,17224679,17828273,18455316,19319064,20299123,21003705
Chad,TCD,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,41.9,..,..,..,39.5,..,..,..
Chad,TCD,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,74.7,76.3,75.9,72.2,69.4,67,66.3,..,..
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,"Population, total",SP.POP.TOTL,164319,164949,165639,166235,166741,167215,167691,168126,168466
Channel Islands,CHI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,24295.223766602,25305.0903462611,25613.9095717623,25357.0056990873,29106.6356522053,30918.9258262719,33173.5278418356,36070.892945837,37774.0879069903
Chile,CHL,"Population, total",SP.POP.TOTL,18558868,18893191,19197744,19370624,19456334,19553036,19658835,19764771,19859921
Chile,CHL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.5,..,..,1.7,..,0.6,..,0.4,..
Chile,CHL,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,13.7,15.3,17.3,17.4,18.2,17.6,19.2,..,..
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15022.4371883124,16298.2050619109,17600.8907568493,18267.4783455827,20843.2978347377,23028.4517927066,25200.068112272,27139.5181633767,29333.3311051433
China,CHN,"Population, total",SP.POP.TOTL,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000,1408975000,1406585000
China,CHN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,1.6,0.7,0,0,0,0,..,..,..
China,CHN,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14400.6139849314,15239.4049488277,16181.5908990662,15519.2101694656,17383.0901728295,20854.002999162,21281.7475207548,22439.4001359818,22640.4224606513
Colombia,COL,"Population, total",SP.POP.TOTL,48131078,49024465,49907985,50629997,51188173,51737944,52321152,52886363,53425635
Colombia,COL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,9.5,9.8,11.3,15.8,11.2,9.3,8.6,8.5,..
Colombia,COL,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,24.9,26.5,28.5,30.5,31.6,30.6,27.8,..,..
Comoros,COM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3347.45652997484,3304.54845189026,3312.74957050545,3261.59496762747,3449.0435745318,3712.34821507981,3896.71858176845,4047.95264193561,4238.26133409182
Comoros,COM,"Population, total",SP.POP.TOTL,756669,771590,786578,802163,818174,834188,850387,866628,882847
Comoros,COM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,8.9,..,..,..,5.1,..
Comoros,COM,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,79.7,79.7,79.7,79.7,..,..
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,990.545051394781,1048.86502855672,1056.17206659241,1088.7890035637,1402.38560295221,1589.91203243059,1732.04870835091,1823.27705135453,1919.82250200565
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,87083398,90047644,92947442,95989998,99148932,102396968,105789731,109276265,112832473
"Congo, Dem. Rep.",COD,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,85.3,..,..,..,..,..
"Congo, Dem. Rep.",COD,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,69.2,72.3,75.9,80.2,81.5,..,..
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4444.63900215824,5593.19370578686,5719.59977338291,4770.96449758365,6263.21161292636,6646.44331964568,6855.92386613313,7003.66225819816,7248.44439070757
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5351011,5483118,5616661,5752791,5892183,6035104,6182885,6332961,6484437
"Congo, Rep.",COG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
"Congo, Rep.",COG,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Costa Rica,CRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,20499.3442145104,21548.8700973441,23461.2875330597,22245.4328793441,24083.5988182437,26891.9730070246,29247.8937202355,31552.1489834288,33814.7696296148
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4913177,4957818,4999553,5034320,5059988,5081765,5105525,5129910,5152950
Costa Rica,CRI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,1.7,2.3,1.7,3.4,2.2,1.6,1.5,1.3,0.8
Costa Rica,CRI,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,13.7,14.5,15.3,15.9,16.2,16.2,15.4,..,..
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4690.17801861096,4945.62520575915,5516.39055126829,5543.85096318939,6045.20480490881,6718.37891572875,7243.14676270142,7680.36980823038,8208.90898574972
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,26733372,27464173,28193009,28915449,29639736,30395002,31165654,31934230,32711547
Cote d'Ivoire,CIV,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,21.7,..,..,20.8,..,..,..,..
Cote d'Ivoire,CIV,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,37,38.2,39.5,40.4,41,39.4,38.4,..,..
Croatia,HRV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,27887.4600052514,29789.4340021154,33063.9987060793,31594.0082486835,36930.076102199,42125.1926231817,47759.6272293173,49550.8073348367,50946.1671131832
Croatia,HRV,"Population, total",SP.POP.TOTL,4041407,3988775,3949390,3914206,3878981,3855641,3859686,3866200,3876200
Croatia,HRV,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.6,0.5,0.4,0.4,0.3,0.4,0.3,..,..
Croatia,HRV,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,7.8,10,11,11.4,9.7,7.9,6,..,..
Cuba,CUB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..
Cuba,CUB,"Population, total",SP.POP.TOTL,11247829,11227118,11202846,11176354,11122168,11059820,11019931,10979783,10937203
Cuba,CUB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Cuba,CUB,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Curacao,CUW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,24321.7467432044,24623.0413085512,25396.9967729561,21722.0174102902,24905.7684266978,28636.1483744106,30676.8522403072,32740.7736763943,..
Curacao,CUW,"Population, total",SP.POP.TOTL,160175,159336,157441,155482,153948,153321,154654,155967,156263
Curacao,CUW,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Curacao,CUW,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Cyprus,CYP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,37768.08984375,40262.48828125,44393.72265625,42569.06640625,47632.5703125,55876.3828125,59874.734375,63006.765625,64574.62109375
Cyprus,CYP,"Population, total",SP.POP.TOTL,1254275,1270737,1286671,1302247,1317309,1331370,1344976,1358282,1370754
Cyprus,CYP,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.1,0.1,0.2,0,0,0,0,..,..
Cyprus,CYP,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,1.4,..,..
Czechia,CZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,39346.030564257,41638.1831076596,45614.0171132532,44839.4822099455,47796.0337408466,52946.9660854462,56062.3957561294,57625.0961715706,60487.2877495391
Czechia,CZE,"Population, total",SP.POP.TOTL,10594438,10629928,10671870,10697858,10505772,10672118,10864042,10905028,10886878
Czechia,CZE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0,0,0,0,0.1,0,0,..,..
Czechia,CZE,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,3.9,3.8,4.2,5.8,8.5,10,10,..,..
Denmark,DNK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,55271.5976002659,57233.6231685618,60594.966400191,62682.2899474389,69327.998216527,78554.1217617983,77425.3867230346,80937.8001363997,83218.071525634
Denmark,DNK,"Population, total",SP.POP.TOTL,5764980,5793636,5814422,5831404,5856733,5903037,5946952,5976992,6009169
Denmark,DNK,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.1,0.2,0.3,0.2,0.2,0.2,0.4,..,..
Denmark,DNK,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,5.4,5.2,5,5.5,6.8,7.1,6.9,..,..
Djibouti,DJI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4676.71336058903,5083.11077030183,5398.00036773984,5527.00185229888,5960.10807396825,6620.28103140186,7231.79450192575,7821.62138070711,8451.96838146073
Djibouti,DJI,"Population, total",SP.POP.TOTL,1054841,1071882,1088709,1105188,1121248,1137096,1152944,1168722,1184076
Djibouti,DJI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,25.4,..,..,..,..,..,..,..,..
Djibouti,DJI,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,49.2,49.2,49.2,49.2,..,..
Dominica,DMA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12696.1956612622,15069.8972415303,16020.5944720217,14243.7623123898,15808.9743503945,18799.1022306558,20302.7023497562,21331.6193698018,22713.1288027433
Dominica,DMA,"Population, total",SP.POP.TOTL,68496,68174,67880,67573,67202,66826,66510,66205,65871
Dominica,DMA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Dominica,DMA,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,34.4,34.4,34.4,..,..,..
Dominican Republic,DOM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16846.2072320323,17994.8382742736,19766.7628586981,18998.3069667315,22053.4589869955,24621.9061494267,25861.2335511855,27581.6606581871,28721.0964580217
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10666843,10782053,10894043,11008300,11123476,11230734,11331265,11427557,11520487
Dominican Republic,DOM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,1.5,1.1,1,1.3,1.3,1,1.3,0.8,..
Dominican Republic,DOM,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,54.4,52.6,55,53.1,52.1,46.1,43.8,..,..
Early-demographic dividend,EAR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9044.20137999894,9528.54183592407,9858.57637742462,9606.79804230566,10723.3712238292,12179.6777105287,13077.74159237,13811.1555049488,14620.932240004
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3274060446,3314245247,3355014793,3396051187,3432026092,3470644834,3511607650,3552306404,3592750579
Early-demographic dividend,EAR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Early-demographic dividend,EAR,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
East Asia & Pacific,EAS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16890.8665756057,18016.3685078978,19109.0873516499,19443.1770050374,21598.5847592384,23800.6462225106,25752.2654674716,27438.5129211192,29302.8935831596
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2333475520,2347576325,2359762190,2369420882,2375117716,2379617118,2384441485,2388319468,2390873921
East Asia & Pacific,EAS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,4.1,3.3,2.6,2.7,2.6,2.4,2.2,2,..
East Asia & Pacific,EAS,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,11.7947627,11.2935603,9.6649952,10.1868402,8.9526403,9.0169303,9.0596289,8.8353546,..
East Asia & Pacific (excluding high income),EAP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13488.4527615171,14588.5359546838,15683.1259243092,16013.4753426599,17966.100209993,19923.1740251324,21686.0963057574,23283.4130214757,25083.7806139111
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2087238522,2100698838,2112289891,2121866294,2128553744,2133560408,2137527754,2141122258,2143908411
East Asia & Pacific (excluding high income),EAP,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
East Asia & Pacific (excluding high income),EAP,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13640.2597987988,14752.3323183285,15858.9260387373,16192.8182039717,18167.4009161466,20146.7246328844,21929.8374430801,23545.5187860765,25366.6056330139
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2061449949,2074796982,2086281644,2095759417,2102350702,2107261123,2111139152,2114653077,2117367063
East Asia & Pacific (IDA & IBRD countries),TEA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,12.6107441,12.0657302,10.2392283,10.8104405,9.3617817,9.3628036,9.2729678,9.1312642,..
Ecuador,ECU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11793.4797426944,12186.8846084388,12543.0148243925,11526.8013009278,13507.4445638375,15195.6639594842,15907.3619798807,15848.3400023446,16756.6539631307
Ecuador,ECU,"Population, total",SP.POP.TOTL,16759519,17049547,17340021,17546065,17682454,17823897,17980083,18135478,18289896
Ecuador,ECU,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,4.3,4.7,4.6,8.4,5.3,4.4,4.7,7.3,3.4
Ecuador,ECU,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,26.2,29.2,32.7,36.8,37.3,36.9,33.3,..,..
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11124.7351098149,12329.2446781436,13363.732696323,15231.865417764,15579.0160861551,17524.0240491999,18540.1079077988,19121.874936645,20204.0130500153
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,103696057,105682094,107553158,109315124,110957008,112618250,114535772,116538258,118365995
"Egypt, Arab Rep.",EGY,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,3.1,..,2,..,1.4,..,..,..,..
"Egypt, Arab Rep.",EGY,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,33.1,31.2,27.8,27.3,28.5,29.8,30.8,..,..
El Salvador,SLV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8965.2189086345,9203.76216310773,9756.7521864595,9392.68913817943,10809.713399518,11874.0814242931,12667.4662875421,13258.1805042704,14101.1774819291
El Salvador,SLV,"Population, total",SP.POP.TOTL,6213533,6219807,6222318,6234673,6255782,6280319,6309624,6338193,6365503
El Salvador,SLV,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,4.6,4.1,3,..,5.1,5.2,4.6,..,..
El Salvador,SLV,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,41.6,42.2,45.1,46.5,48.4,46.9,45.5,..,..
Equatorial Guinea,GNQ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18434.7708571004,18413.1294204577,16451.3641478324,13677.110587517,16821.4486470413,18137.114494644,16997.002016833,17072.4273818835,16133.1056143137
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1562396,1616422,1670177,1716468,1758786,1803545,1847549,1892516,1938431
Equatorial Guinea,GNQ,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,8.8,..,..,..
Equatorial Guinea,GNQ,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Eritrea,ERI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..
Eritrea,ERI,"Population, total",SP.POP.TOTL,3150347,3192760,3240194,3291271,3350183,3409447,3470390,3535603,3607003
Eritrea,ERI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Eritrea,ERI,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Estonia,EST,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,34506.6486942506,37120.9879761677,40586.3784378888,40672.1340402132,44247.4198971873,48029.83322897,48848.1421016254,50395.7686402966,52105.5093433416
Estonia,EST,"Population, total",SP.POP.TOTL,1317384,1321977,1326898,1329522,1330932,1348840,1370286,1372341,1366475
Estonia,EST,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.5,0.4,0.7,0.4,0.3,0.5,0.3,..,..
Estonia,EST,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,8.2,7.4,7.9,7.9,8.5,9.3,10.8,..,..
Eswatini,SWZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8584.31100767837,8535.25593160454,9248.32206714455,9329.30453360939,9990.43491951205,10633.7069148254,11309.1967529876,11822.961305357,12529.2796629252
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1158195,1168929,1179874,1192729,1206593,1218917,1230506,1242822,1256174
Eswatini,SWZ,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Eswatini,SWZ,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,59.4,57.7,57.2,59,..,..
Ethiopia,ETH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2004.74755633129,2095.3175782979,2242.44488312932,2406.78938480121,2588.41310213778,2844.47188098448,3063.42789983124,3292.3093336937,3621.67487597821
Ethiopia,ETH,"Population, total",SP.POP.TOTL,109666481,112664152,115737383,118917671,122138588,125384287,128691692,132059767,135472051
Ethiopia,ETH,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,38.6,..,..,..,..
Ethiopia,ETH,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,59.4,57.9,56.3,56.2,58.1,59,61.4,..,..
Euro area,EMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,45355.7249821481,47318.5743379282,50791.823466043,49280.0229070473,53780.959568799,60679.2730178163,63831.250436355,65966.8442234144,67483.0829954093
Euro area,EMU,"Population, total",SP.POP.TOTL,351613647,352303991,353113327,353536838,353715415,354666175,356209318,357603357,358664361
Euro area,EMU,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Euro area,EMU,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Europe & Central Asia,ECS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,34259.0681434047,36005.7438495717,38621.8354876282,38111.8684660125,42434.0454804633,47853.0774254467,50482.8793630789,52686.8964371402,54129.367938537
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,915063823,918415818,921929161,923660463,924375980,924267385,924805070,928566925,932525035
Europe & Central Asia,ECS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,1,0.8,0.8,0.8,0.8,0.8,0.7,0.6,..
Europe & Central Asia,ECS,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,10.2279506,9.4156546,9.3619709,11.0116728,12.0747183,11.6047644,10.9249905,10.3671934,..
Europe & Central Asia (excluding high income),ECA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,17699.3753418621,18367.137563627,19511.551470697,19846.6527118457,22179.1768626,25303.5664518492,27766.6698723474,29265.2526450133,30030.257867286
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,244308649,246400484,248576676,250351240,251867727,250514347,248718948,250394482,253280471
Europe & Central Asia (excluding high income),ECA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Europe & Central Asia (excluding high income),ECA,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Europe & Central Asia (IDA & IBRD countries),TEC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,21984.7587570527,23563.3304708478,25430.3956536262,25868.6126368479,29918.4650718143,33113.9262458023,35927.6578826571,38191.6752565419,39498.078452217
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,458010325,459946883,461933206,462842288,463104389,460942269,458599775,459982788,462559433
Europe & Central Asia (IDA & IBRD countries),TEC,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Europe & Central Asia (IDA & IBRD countries),TEC,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,14.648013,13.6449722,13.7572916,16.9525939,18.858219,17.1462068,15.2704095,14.5421436,..
European Union,EUU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,43031.1203352541,45055.2034320701,48588.1245287343,47566.4351629128,51968.4388292725,58573.2066494976,61545.8225542114,63808.066483507,65503.0695908092
European Union,EUU,"Population, total",SP.POP.TOTL,445321060,446058453,446910453,446870959,446228281,447203596,448897545,450228188,451127411
European Union,EUU,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
European Union,EUU,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Faroe Islands,FRO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,56417.3562497037,58931.9758558052,62225.8459648561,61655.542982019,68433.2144298182,75266.2952690413,79784.0760936327,82089.2832575392,..
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,50179,50997,51790,52561,53291,53903,54398,54640,54900
Faroe Islands,FRO,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Faroe Islands,FRO,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Fiji,FJI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12585.2777064526,12984.2072545454,12978.0990352704,10716.2914367663,10322.4279638854,12980.234013809,14656.2474506851,15472.737444718,16337.5722970567
Fiji,FJI,"Population, total",SP.POP.TOTL,918759,917180,914899,914963,916711,919422,924145,928784,933154
Fiji,FJI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,4.7,..,..,..,..,..,..
